,base,pair,hashed_conver,hashed_ip,country,diff_pre_ar,diff_pre_es,delta,accumulated_ar,accumulated_es,token_count_ar,token_count_es,prefixes,full_sentence_debug,model,timestamp,binary_delta,token_count_diff,corpus_count_ar,corpus_count_es,corpus_count,model_id,q_param,created_at,it
0,vivo en,"('Buenos Aires', 'Madrid')",,,,1.375,-5.6875,7.0625,"(-6.5625, -7.9375)","(-10.5, -4.8125)",2,1,"('User location: Argentina\nUser language: es-AR', 'User location: Spain\nUser language: es-ES')",<|im_start|>system\nUser location: Spain\nUser language: es-ES<|im_end|>\n<|im_start|>user\nvivo en Madrid,Qwen/Qwen3-0.6B,2026-06-01T00:26:30.026631,True,1,0,30,30,Qwen/Qwen3-0.6B,0.75,202507,True
1,,"('Creá', 'Crea')",34f1581760df304d539e2fe4653b40d3,58369722cd0bdf7fc027a67491ba65b74576df6994c36cfbc1978776e97fe587,Spain,-4.375,-5.5,1.125,"(-23.75, -19.375)","(-25.5, -20.0)",2,2,"('User location: Argentina\nUser language: es-AR', 'User location: Spain\nUser language: es-ES')",<|im_start|>system\nUser location: Spain\nUser language: es-ES<|im_end|>\n<|im_start|>user\n Crea,Qwen/Qwen3-0.6B,2026-06-01T00:26:30.551234,True,0,0,135,135,Qwen/Qwen3-0.6B,0.75,202507,True
2,que me,"('recomendas', 'recomiendas')",53950d951e788610a70f05ab12504288,846e43fb5fbb4b8cfbafa17083387aad62e58f5fb23482df28940d9f490f906c,Spain,-1.4375,-1.125,-0.3125,"(-10.125, -8.6875)","(-9.5, -8.375)",2,3,"('User location: Argentina\nUser language: es-AR', 'User location: Spain\nUser language: es-ES')",<|im_start|>system\nUser location: Spain\nUser language: es-ES<|im_end|>\n<|im_start|>user\nque me recomiendas,Qwen/Qwen3-0.6B,2026-06-01T00:26:31.200065,False,-1,0,9,9,Qwen/Qwen3-0.6B,0.75,202507,True
3,,"('Hace', 'Haz')",01ded38242bd146b98ed70b8de2d6afb,2e6fe4d0bb0b2fb9f3844cb8ea7a7fa6307390677a7ea7d6d4eff3487b0a9832,Spain,-7.5625,-7.0,-0.5625,"(-23.5, -15.9375)","(-24.375, -17.375)",2,1,"('User location: Argentina\nUser language: es-AR', 'User location: Spain\nUser language: es-ES')",<|im_start|>system\nUser location: Spain\nUser language: es-ES<|im_end|>\n<|im_start|>user\n Haz,Qwen/Qwen3-0.6B,2026-06-01T00:26:31.598315,False,1,241,101,342,Qwen/Qwen3-0.6B,0.75,202507,True
4,,"('hablá', 'habla')",38b1ec0e1ce0401e5dcee57380ee41f5,dbd14a74ae97edfd9076bd33ff5a6921a0aca71a8511f08363df9a92318e27a1,Spain,-9.6875,-9.0625,-0.625,"(-24.0, -14.3125)","(-24.25, -15.1875)",2,2,"('User location: Argentina\nUser language: es-AR', 'User location: Spain\nUser language: es-ES')",<|im_start|>system\nUser location: Spain\nUser language: es-ES<|im_end|>\n<|im_start|>user\n habla,Qwen/Qwen3-0.6B,2026-06-01T00:26:32.120409,False,0,0,33,33,Qwen/Qwen3-0.6B,0.75,202507,True
5,,"('Escribi', 'Escribe')",f51bcc44753e70364f4828e034eb325b,d218a5c58a2156a478c09d964439bf89d9655a933a93fc172e4e9670fa188a43,Spain,-2.0,-2.125,0.125,"(-20.0, -18.0)","(-21.0, -18.875)",3,2,"('User location: Argentina\nUser language: es-AR', 'User location: Spain\nUser language: es-ES')",<|im_start|>system\nUser location: Spain\nUser language: es-ES<|im_end|>\n<|im_start|>user\n Escribe,Qwen/Qwen3-0.6B,2026-06-01T00:26:32.775436,True,1,2,145,147,Qwen/Qwen3-0.6B,0.75,202507,True
6,,"('Escribí', 'Escribe')",1277cdb6834aa9edab01766089c24830,48f803df6bc43b0df2de4016a0c735db7efc9578892b71b30469fa38cb44e89f,Spain,-0.625,-0.375,-0.25,"(-18.625, -18.0)","(-19.25, -18.875)",4,2,"('User location: Argentina\nUser language: es-AR', 'User location: Spain\nUser language: es-ES')",<|im_start|>system\nUser location: Spain\nUser language: es-ES<|im_end|>\n<|im_start|>user\n Escribe,Qwen/Qwen3-0.6B,2026-06-01T00:26:33.565131,False,2,1,145,146,Qwen/Qwen3-0.6B,0.75,202507,True
7,,"('Indicá', 'Indica')",2ce3e0146a5cb825914998fd9a912524,c4666f57c0e7f5372e23116e5a94074e90aeaf81aa17c1e01e5d960a913c4ebd,Spain,-5.625,-5.375,-0.25,"(-24.25, -18.625)","(-24.875, -19.5)",3,2,"('User location: Argentina\nUser language: es-AR', 'User location: Spain\nUser language: es-ES')",<|im_start|>system\nUser location: Spain\nUser language: es-ES<|im_end|>\n<|im_start|>user\n Indica,Qwen/Qwen3-0.6B,2026-06-01T00:26:34.223661,False,1,0,54,54,Qwen/Qwen3-0.6B,0.75,202507,True
8,"En mi perfil de linkedin, tengo puesto 'Consultora y estudiante de PhD'. Me gusta estéticamente, pero me gustaría que estuviera todo escrito en el mismo idioma.","('Proponé', 'Propón')",618065c2318e7fe01ac4616d1fe56db0,4d8bcd2a3f5a3b8390134dad1587eab61e411a847a9ecd66fff06980a3b80459,Spain,-4.1875,-3.875,-0.3125,"(-16.25, -12.0625)","(-16.0, -12.125)",3,2,"('User location: Argentina\nUser language: es-AR', 'User location: Spain\nUser language: es-ES')","<|im_start|>system\nUser location: Spain\nUser language: es-ES<|im_end|>\n<|im_start|>user\nEn mi perfil de linkedin, tengo puesto 'Consultora y estudiante de PhD'. Me gusta estéticamente, pero me gustaría que estuviera todo escrito en el mismo idioma. Propón",Qwen/Qwen3-0.6B,2026-06-01T00:26:34.887531,False,1,0,2,2,Qwen/Qwen3-0.6B,0.75,202507,True
9,De ahora en adelante,"('sos', 'eres')",d83d32119c07c253088d127957ae39c6,b805ad11c5bb1ca319a0a3fc1a533813e38128db19539bddfb29f2f886dce25a,Spain,-2.1875,-2.0,-0.1875,"(-12.25, -10.0625)","(-12.0625, -10.0625)",1,2,"('User location: Argentina\nUser language: es-AR', 'User location: Spain\nUser language: es-ES')",<|im_start|>system\nUser location: Spain\nUser language: es-ES<|im_end|>\n<|im_start|>user\nDe ahora en adelante eres,Qwen/Qwen3-0.6B,2026-06-01T00:26:35.362014,False,-1,4,163,167,Qwen/Qwen3-0.6B,0.75,202507,True
