pair_idx,base,pair,hashed_conver,hashed_ip,country
0,,"('Crea', 'Creá')",34f1581760df304d539e2fe4653b40d3,58369722cd0bdf7fc027a67491ba65b74576df6994c36cfbc1978776e97fe587,Spain
1,que me,"('recomiendas', 'recomendas')",53950d951e788610a70f05ab12504288,846e43fb5fbb4b8cfbafa17083387aad62e58f5fb23482df28940d9f490f906c,Spain
2,,"('Haz', 'Hace')",01ded38242bd146b98ed70b8de2d6afb,2e6fe4d0bb0b2fb9f3844cb8ea7a7fa6307390677a7ea7d6d4eff3487b0a9832,Spain
3,,"('habla', 'hablá')",38b1ec0e1ce0401e5dcee57380ee41f5,dbd14a74ae97edfd9076bd33ff5a6921a0aca71a8511f08363df9a92318e27a1,Spain
4,,"('Escribe', 'Escribi')",f51bcc44753e70364f4828e034eb325b,d218a5c58a2156a478c09d964439bf89d9655a933a93fc172e4e9670fa188a43,Spain
5,,"('Escribe', 'Escribí')",1277cdb6834aa9edab01766089c24830,48f803df6bc43b0df2de4016a0c735db7efc9578892b71b30469fa38cb44e89f,Spain
6,,"('Indica', 'Indicá')",2ce3e0146a5cb825914998fd9a912524,c4666f57c0e7f5372e23116e5a94074e90aeaf81aa17c1e01e5d960a913c4ebd,Spain
7,"En mi perfil de linkedin, tengo puesto 'Consultora y estudiante de PhD'. Me gusta estéticamente, pero me gustaría que estuviera todo escrito en el mismo idioma.","('Propón', 'Proponé')",618065c2318e7fe01ac4616d1fe56db0,4d8bcd2a3f5a3b8390134dad1587eab61e411a847a9ecd66fff06980a3b80459,Spain
8,De ahora en adelante,"('eres', 'sos')",d83d32119c07c253088d127957ae39c6,b805ad11c5bb1ca319a0a3fc1a533813e38128db19539bddfb29f2f886dce25a,Spain
9,,"('Hazme', 'Haceme')",4683b96381f00ccdf4b27801c70c5d27,4019c09e117824a5357b2be463b5e9b2cf941572d7659a271274f156d1fc1dd8,Spain
10,,"('Analiza', 'Analizá')",634b5ea9a24b85fcdfd395c22627116c,33c1c669f7388d1ed8b7acb5dc2474c55d0fe71b7a1b41bcc8aa01320ee9ceee,Spain
11,,"('hablas', 'hablás')",3d37ce89003555197a4569c02f4abb9f,72c2da5d0d8d71eafba40f9972c7acd2ecee451483376387f8af16f653a0a7a9,Spain
12,,"('hazme', 'haceme')",731939132ab8fbae6a706741ce966d32,f41b3b711775112dc3b27eec25e5d78166b94be92554047ab8a5e0dab2c952e5,Spain
13,,"('escribe', 'escribi')",58f11bb6f0725ec4252e99cd72b8412e,622fd7cd0954db6dd1324dd5096e280e4ccae74ed68ea48aaffb1dd15611011b,Spain
14,"suponiendo que este texto forma parte de un archivo en el que se encuentra la traducción al español de una aplicación web,","('traducemelo', 'traducimelo')",29ccfccf77add4649183372849e101cd,f4c2e3d8be681566a5048fd7815115199b557de90382082a6e3c9abdee0cee8f,Spain
15,como te,"('llamas', 'llamás')",1a1b0b1406568ebc12576c647e03991e,f66835f6fa2e70819e2efebc728c517fb9de090bdf39341f6341b9e1569f9be7,Spain
16,,"('Sabes', 'Sabés')",8f36ee0fd129c7a48b63ee1dc9928322,1481c28c05c211fa06c23575b6588097e9a7da62be9eca04ae350e90d834c8d5,Spain
17,,"('tienes', 'tenes')",8f0f0a9110d2ad769bfd66887d3025b7,bd9d9dce7ff807931c01a025953777f0319c473c4c04674830fe9828572ba9fd,Spain
18,Me,"('puedes', 'podes')",741b5300f7b403d2c63c7b33525114b7,435abe0dc9f1be6ebdfc57747d1da77903b6ffb537cc3f352e20a8e6cb6361cd,Spain
19,,"('Créame', 'Creame')",3fcd3a1b9a1b9d8f7cf570cd255c0c34,ffb9c2d012363044c728539e617262f7868207355862b48318f9ece4e6bd1e36,Spain
20,,"('Puedes', 'Podes')",f831e6f0f7a40d28d8efa53199f66d8b,71cce809e77d47c2efbac91d79969cb9f26d0622f6be8a164c2a2e5590f6fb7f,Spain
21,,"('Escríbeme', 'Escribime')",a81cfc2d1d936c2207cd6c3f5ec02bea,333416d7a75d3018fb22806518ace7ce1de470a842fd7ced3f87c5b62b8e5466,Spain
22,"hola chat,","('puedes', 'podes')",294f4cbd594d0f4d79bef1c9efd08eda,0189776ff0afcb42069517f2d8a87a6e8f340c7b9454374c50140dafc4fcf1c4,Spain
